"OrganizationIdentifier","ActivityStartDate","ActivityStartTime.Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultStatusIdentifier","ResultValueTypeName"
"USGS-NC","3/28/84","10:55:00","USGS-02086849","Routine sample","Rising stage","Temperature, water",NA,"14.5","Historical","Actual"
"USGS-NC","10/26/89","10:35:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"15","Historical","Actual"
"USGS-NC","4/24/95","16:20:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"15.2","Historical","Actual"
"USGS-NC","11/21/85","15:00:00","USGS-02086849","Flood","Falling stage","Temperature, water",NA,"15.5","Historical","Actual"
"USGS-NC","5/3/84","10:30:00","USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"16","Historical","Actual"
"USGS-NC","5/9/83","13:45:00","USGS-02086849","Routine sample","Rising stage","Temperature, water",NA,"16.5","Historical","Actual"
"USGS-NC","10/25/94","11:15:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"17","Historical","Actual"
"USGS-NC","4/30/85","13:45:00","USGS-02086849","Routine sample","Rising stage","Temperature, water",NA,"17.5","Historical","Actual"
"USGS-NC","10/28/86","9:30:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"17.5","Historical","Actual"
"USGS-NC","9/26/08","11:15:00","USGS-02086849","Storm","Falling stage","Temperature, water",NA,"17.9","Accepted","Actual"
"USGS-NC","10/22/90","12:00:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"18","Historical","Actual"
"USGS-NC","4/15/14","10:50:00","USGS-02086849","Routine sample","Stable, high stage","Temperature, water",NA,"18.4","Accepted","Actual"
"USGS-NC","4/18/94","16:00:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"19","Historical","Actual"
"USGS-NC","10/23/85","10:45:00","USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"20","Historical","Actual"
"USGS-NC","5/21/84","11:00:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"20","Historical","Actual"
"USGS-NC","5/23/85","8:55:00","USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"20","Historical","Actual"
"USGS-NC","10/8/16","14:15:00","USGS-0208675009","Storm","Rising stage","Temperature, water",NA,"20.3","Accepted","Actual"
"USGS-NC","5/20/93","11:45:00","USGS-0208682450","Routine sample","Stable, normal stage","Temperature, water",NA,"20.5","Historical","Actual"
"USGS-NC","5/28/86","9:30:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"20.5","Historical","Actual"
"USGS-NC","5/18/87","9:45:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"21","Historical","Actual"
"USGS-NC","10/19/93","15:10:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"21","Historical","Actual"
"USGS-NC","5/26/93","14:30:00","USGS-0208682450","Storm","Rising stage","Temperature, water",NA,"21.5","Historical","Actual"
"USGS-NC","5/29/14","12:20:00","USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"21.8","Accepted","Actual"
"USGS-NC","9/24/85","14:00:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"22","Historical","Actual"
"USGS-NC","9/23/86","10:15:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"22","Historical","Actual"
"USGS-NC","9/19/89","10:50:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"22.5","Historical","Actual"
"USGS-NC","7/10/84","10:15:00","USGS-02086849","Routine sample","Falling stage","Temperature, water",NA,"23","Historical","Actual"
"USGS-NC","6/18/86","10:30:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"23","Historical","Actual"
"USGS-NC","6/10/14","9:30:00","USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"23.1","Accepted","Actual"
"USGS-NC","9/28/11","11:45:00","USGS-0208675010","Routine sample","Falling stage","Temperature, water",NA,"23.6","Preliminary","Actual"
"USGS-NC","6/13/01","12:00:00","USGS-02086770","Routine sample","Not determined","Temperature, water",NA,"24","Accepted","Actual"
"USGS-NC","6/18/84","11:15:00","USGS-02086849","Routine sample","Rising stage","Temperature, water",NA,"24.5","Historical","Actual"
"USGS-NC","7/24/84","12:30:00","USGS-02086849","Routine sample","Rising stage","Temperature, water",NA,"24.5","Historical","Actual"
"USGS-NC","5/30/12","12:30:00","USGS-0208675010","Routine sample","Stable, normal stage","Temperature, water",NA,"24.7","Preliminary","Actual"
"USGS-NC","7/12/16","10:25:00","USGS-02086833","Routine sample","Stable, normal stage","Temperature, water",NA,"24.9","Accepted","Actual"
"USGS-NC","8/18/85","19:45:00","USGS-02086849","Flood","Rising stage","Temperature, water",NA,"25","Historical","Actual"
"USGS-NC","8/12/93","11:00:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"25","Historical","Actual"
"USGS-NC","5/12/14","16:30:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"25.4","Accepted","Actual"
"USGS-NC","7/12/16","11:20:00","USGS-360211078513701","Routine sample","Stable, normal stage","Temperature, water",NA,"25.5","Accepted","Actual"
"USGS-NC","9/2/11","12:55:00","USGS-0208675010","Routine sample","Stable, normal stage","Temperature, water",NA,"25.8","Preliminary","Actual"
"USGS-NC","9/7/83","12:50:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"26","Historical","Actual"
"USGS-NC","8/7/84","11:10:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"26","Historical","Actual"
"USGS-NC","7/12/16","13:00:00","USGS-02086839","Routine sample","Stable, normal stage","Temperature, water",NA,"26.1","Accepted","Actual"
"USGS-NC","7/28/86","9:45:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"26.5","Historical","Actual"
"USGS-NC","7/12/16","14:10:00","USGS-02086843","Routine sample","Stable, normal stage","Temperature, water",NA,"26.9","Accepted","Actual"
"USGS-NC","8/28/90","13:45:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"27","Historical","Actual"
"USGS-NC","7/12/16","14:40:00","USGS-02086845","Routine sample","Stable, normal stage","Temperature, water",NA,"27.1","Accepted","Actual"
"USGS-NC","7/20/11","11:00:00","USGS-0208675010","Routine sample","Stable, low stage","Temperature, water",NA,"27.6","Preliminary","Actual"
"USGS-NC","6/29/12","12:40:00","USGS-0208675010","Routine sample","Stable, normal stage","Temperature, water",NA,"29.1","Preliminary","Actual"
"USGS-NC","2/24/87","9:15:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"3","Historical","Actual"
"USGS-NC","12/29/11","11:15:00","USGS-0208675010","Routine sample","Falling stage","Temperature, water",NA,"7.1","Preliminary","Actual"
"USGS-NC","1/30/12","11:50:00","USGS-0208675010","Routine sample","Stable, low stage","Temperature, water",NA,"7.4","Preliminary","Actual"
"USGS-NC","12/17/85","9:35:00","USGS-02086849","Routine sample","Stable, low stage","Temperature, water",NA,"8","Historical","Actual"
"USGS-NC","3/26/85","9:35:00","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water",NA,"9","Historical","Actual"
"USGS-NC","12/4/84","14:40:00","USGS-02086849","Routine sample","Rising stage","Temperature, water",NA,"9","Historical","Actual"
"USGS-NC","11/17/82","9:45:00","USGS-02086849","Routine sample","Not determined","Temperature, water",NA,"9.5","Historical","Actual"
"USGS-NC","7/20/11","11:00:00","USGS-0208675010","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.37","Preliminary","Actual"
"USGS-NC","9/2/11","12:55:00","USGS-0208675010","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.44","Preliminary","Actual"
"USGS-NC","12/21/17","10:05:00","USGS-0208675009","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.48","Accepted","Actual"
"USGS-NC","1/30/12","11:50:00","USGS-0208675010","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.53","Preliminary","Actual"
"USGS-NC","5/30/12","12:30:00","USGS-0208675010","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.63","Preliminary","Actual"
"USGS-NC","12/29/11","11:15:00","USGS-0208675010","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.71","Preliminary","Actual"
"USGS-NC","9/28/11","11:45:00","USGS-0208675010","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.77","Preliminary","Actual"
"USGS-NC","5/3/84","10:30:00","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","10","Historical","Actual"
"USGS-NC","7/24/84","12:30:00","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","11","Historical","Actual"
"USGS-NC","4/16/87","11:00:00","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.1","Historical","Actual"
"USGS-NC","3/26/85","9:35:00","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","12","Historical","Actual"
"USGS-NC","6/5/17","21:03:00","USGS-0208675009","Storm","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.2","Accepted","Actual"
"USGS-NC","7/8/17","20:21:00","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.2","Accepted","Actual"
"USGS-NC","8/7/84","11:10:00","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","13","Historical","Actual"
"USGS-NC","2/20/85","15:50:00","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","13","Historical","Actual"
"USGS-NC","12/17/85","9:35:00","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","13","Historical","Actual"
"USGS-NC","1/12/18","22:05:00","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.3","Accepted","Actual"
"USGS-NC","11/13/17","4:52:00","USGS-0208675009","Storm","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.3","Accepted","Actual"
"USGS-NC","8/13/17","7:15:00","USGS-0208675009","Storm","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.4","Accepted","Actual"
"USGS-NC","5/25/17","4:25:00","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.4","Accepted","Actual"
"USGS-NC","6/18/84","11:15:00","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","15","Historical","Actual"
"USGS-NC","10/8/16","14:15:00","USGS-0208675009","Storm","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.5","Accepted","Actual"
"USGS-NC","5/21/84","11:00:00","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","17","Historical","Actual"
"USGS-NC","4/30/85","13:45:00","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","17","Historical","Actual"
"USGS-NC","7/28/86","9:45:00","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","17","Historical","Actual"
"USGS-NC","5/9/83","13:45:00","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","17","Historical","Actual"
"USGS-NC","9/7/83","12:50:00","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","17","Historical","Actual"
"USGS-NC","11/11/09","11:00:00","USGS-02086849","Storm","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.7","Accepted","Actual"
"USGS-NC","9/26/08","11:15:00","USGS-02086849","Storm","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.7","Accepted","Actual"
"USGS-NC","9/1/17","19:45:00","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.8","Accepted","Actual"
"USGS-NC","1/6/09","11:15:00","USGS-02086849","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.8","Accepted","Actual"
"USGS-NC","9/24/85","14:00:00","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","19","Historical","Actual"
"USGS-NC","10/23/85","10:45:00","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","19","Historical","Actual"
"USGS-NC","10/28/86","9:30:00","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","19","Historical","Actual"
"USGS-NC","11/21/85","15:00:00","USGS-02086849","Flood","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.9","Historical","Actual"
"USGS-NC","12/19/84","9:20:00","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","20","Historical","Actual"
"USGS-NC","6/18/86","10:30:00","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","21","Historical","Actual"
"USGS-NC","12/6/83","10:05:00","USGS-02086849","Flood","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.1","Historical","Actual"
"USGS-NC","12/6/83","16:05:00","USGS-02086849","Flood","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.1","Historical","Actual"
"USGS-NC","5/28/86","9:30:00","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","22","Historical","Actual"
"USGS-NC","5/5/17","6:10:00","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.2","Accepted","Actual"
"USGS-NC","3/1/17","21:30:00","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.2","Accepted","Actual"
"USGS-NC","11/24/86","8:30:00","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","23","Historical","Actual"
"USGS-NC","5/18/87","9:45:00","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","23","Historical","Actual"
"USGS-NC","5/23/85","8:55:00","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.5","Historical","Actual"
"USGS-NC","11/17/82","9:45:00","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","26","Historical","Actual"
"USGS-NC","9/23/86","10:15:00","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","26","Historical","Actual"
"USGS-NC","12/4/84","14:40:00","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","26","Historical","Actual"
"USGS-NC","12/16/82","11:45:00","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.6","Historical","Actual"
"USGS-NC","1/18/06","9:30:00","USGS-02086849","Storm","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.8","Accepted","Actual"
"USGS-NC","12/16/82","14:40:00","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3","Historical","Actual"
"USGS-NC","8/18/85","19:45:00","USGS-02086849","Flood","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.1","Historical","Actual"
"USGS-NC","7/10/84","10:15:00","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","33","Historical","Actual"
"USGS-NC","4/23/84","9:35:00","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.3","Historical","Actual"
"USGS-NC","12/16/82","9:45:00","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.5","Historical","Actual"
"USGS-NC","5/14/11","17:15:00","USGS-02086849","Storm","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.8","Accepted","Actual"
"USGS-NC","2/24/87","9:15:00","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","4.7","Historical","Actual"
"USGS-NC","3/28/84","10:55:00","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","6.4","Historical","Actual"
"USGS-NC","11/21/85","15:00:00","USGS-02086849","Flood","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","1.1","Historical","Actual"
"USGS-NC","12/6/83","10:05:00","USGS-02086849","Flood","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","1.3","Historical","Actual"
"USGS-NC","9/7/83","12:50:00","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","14","Historical","Actual"
"USGS-NC","5/9/83","13:45:00","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","15","Historical","Actual"
"USGS-NC","12/19/84","9:20:00","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","16","Historical","Actual"
"USGS-NC","12/16/82","9:45:00","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","2","Historical","Actual"
"USGS-NC","8/18/85","19:45:00","USGS-02086849","Flood","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","2.1","Historical","Actual"
"USGS-NC","11/17/82","9:45:00","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","25","Historical","Actual"
"USGS-NC","7/12/16","11:20:00","USGS-360211078513701","Routine sample","Stable, normal stage","Nitrate","Dissolved","0.266","Accepted","Actual"
"USGS-NC","4/15/14","10:50:00","USGS-02086849","Routine sample","Stable, high stage","Nitrate","Dissolved","0.338","Accepted","Actual"
"USGS-NC","11/11/09","11:00:00","USGS-02086849","Storm","Rising stage","Nitrate","Dissolved","0.379","Accepted","Actual"
"USGS-NC","9/26/08","11:15:00","USGS-02086849","Storm","Falling stage","Nitrate","Dissolved","0.458","Accepted","Actual"
"USGS-NC","1/6/09","11:15:00","USGS-02086849","Storm","Peak stage","Nitrate","Dissolved","0.489","Accepted","Actual"
"USGS-NC","1/18/06","9:30:00","USGS-02086849","Storm","Rising stage","Nitrate","Dissolved","0.676","Accepted","Actual"
"USGS-NC","7/12/16","10:25:00","USGS-02086833","Routine sample","Stable, normal stage","Nitrate","Dissolved","1.14","Accepted","Actual"
"USGS-NC","7/12/16","13:00:00","USGS-02086839","Routine sample","Stable, normal stage","Nitrate","Dissolved","1.18","Accepted","Actual"
"USGS-NC","7/12/16","14:40:00","USGS-02086845","Routine sample","Stable, normal stage","Nitrate","Dissolved","1.18","Accepted","Actual"
"USGS-NC","7/12/16","14:10:00","USGS-02086843","Routine sample","Stable, normal stage","Nitrate","Dissolved","1.19","Accepted","Actual"
"USGS-NC","5/14/11","17:15:00","USGS-02086849","Storm","Rising stage","Nitrate","Dissolved","1.43","Accepted","Actual"
"USGS-NC","3/27/18","11:30:00","USGS-02086837","Routine sample","Stable, normal stage","Nitrate","Dissolved","2.26","Accepted","Actual"
"USGS-NC","6/10/14","9:30:00","USGS-02086849","Routine sample","Not determined","Nitrate","Dissolved","2.31","Accepted","Actual"
"USGS-NC","5/12/14","16:30:00","USGS-02086849","Routine sample","Stable, low stage","Nitrate","Dissolved","2.57","Accepted","Actual"
"USGS-NC","3/27/18","9:30:00","USGS-02086833","Routine sample","Stable, normal stage","Nitrate","Dissolved","2.68","Accepted","Actual"
"USGS-NC","5/29/14","12:20:00","USGS-02086849","Routine sample","Not determined","Nitrate","Dissolved","3.24","Accepted","Actual"
"USGS-NC","5/18/87","9:45:00","USGS-02086849","Routine sample","Stable, normal stage","Nitrate","Total","0.25","Historical","Actual"
"USGS-NC","4/16/87","11:00:00","USGS-02086849","Routine sample","Falling stage","Nitrate","Total","0.26","Historical","Actual"
"USGS-NC","2/24/87","9:15:00","USGS-02086849","Routine sample","Stable, normal stage","Nitrate","Total","0.27","Historical","Actual"
"USGS-NC","11/21/85","15:00:00","USGS-02086849","Flood","Falling stage","Nitrate","Total","0.29","Historical","Actual"
"USGS-NC","12/6/83","10:05:00","USGS-02086849","Flood","Rising stage","Nitrate","Total","0.38","Historical","Actual"
"USGS-NC","12/16/82","9:45:00","USGS-02086849","Routine sample","Not determined","Nitrate","Total","0.43","Historical","Actual"
"USGS-NC","4/23/84","9:35:00","USGS-02086849","Routine sample","Falling stage","Nitrate","Total","0.44","Historical","Actual"
"USGS-NC","12/17/85","9:35:00","USGS-02086849","Routine sample","Stable, low stage","Nitrate","Total","0.48","Historical","Actual"
"USGS-NC","11/17/82","9:45:00","USGS-02086849","Routine sample","Not determined","Nitrate","Total","0.49","Historical","Actual"
"USGS-NC","12/16/82","11:45:00","USGS-02086849","Routine sample","Not determined","Nitrate","Total","0.53","Historical","Actual"
"USGS-NC","12/16/82","14:40:00","USGS-02086849","Routine sample","Not determined","Nitrate","Total","0.61","Historical","Actual"
"USGS-NC","12/6/83","16:05:00","USGS-02086849","Flood","Falling stage","Nitrate","Total","0.64","Historical","Actual"
"USGS-NC","2/20/85","15:50:00","USGS-02086849","Routine sample","Rising stage","Nitrate","Total","0.81","Historical","Actual"
"USGS-NC","8/18/85","19:45:00","USGS-02086849","Flood","Rising stage","Nitrate","Total","0.94","Historical","Actual"
"USGS-NC","7/28/86","9:45:00","USGS-02086849","Routine sample","Stable, low stage","Nitrate","Total","10.1","Historical","Actual"
"USGS-NC","9/7/83","12:50:00","USGS-02086849","Routine sample","Stable, low stage","Nitrate","Total","10.7","Historical","Actual"
"USGS-NC","5/28/86","9:30:00","USGS-02086849","Routine sample","Stable, low stage","Nitrate","Total","11","Historical","Actual"
"USGS-NC","12/19/84","9:20:00","USGS-02086849","Routine sample","Stable, low stage","Nitrate","Total","1.11","Historical","Actual"
"USGS-NC","5/23/85","8:55:00","USGS-02086849","Routine sample","Falling stage","Nitrate","Total","1.25","Historical","Actual"
"USGS-NC","12/4/84","14:40:00","USGS-02086849","Routine sample","Rising stage","Nitrate","Total","1.3","Historical","Actual"
"USGS-NC","3/26/85","9:35:00","USGS-02086849","Routine sample","Stable, normal stage","Nitrate","Total","1.67","Historical","Actual"
"USGS-NC","3/28/84","10:55:00","USGS-02086849","Routine sample","Rising stage","Nitrate","Total","1.82","Historical","Actual"
"USGS-NC","5/9/83","13:45:00","USGS-02086849","Routine sample","Rising stage","Nitrate","Total","2.1","Historical","Actual"
"USGS-NC","10/28/86","9:30:00","USGS-02086849","Routine sample","Stable, normal stage","Nitrate","Total","2.89","Historical","Actual"
"USGS-NC","5/21/84","11:00:00","USGS-02086849","Routine sample","Stable, low stage","Nitrate","Total","4.5","Historical","Actual"
"USGS-NC","7/24/84","12:30:00","USGS-02086849","Routine sample","Rising stage","Nitrate","Total","5.35","Historical","Actual"
"USGS-NC","4/30/85","13:45:00","USGS-02086849","Routine sample","Rising stage","Nitrate","Total","5.5","Historical","Actual"
"USGS-NC","10/23/85","10:45:00","USGS-02086849","Routine sample","Falling stage","Nitrate","Total","6.75","Historical","Actual"
"USGS-NC","6/18/86","10:30:00","USGS-02086849","Routine sample","Stable, low stage","Nitrate","Total","7.4","Historical","Actual"
"USGS-NC","9/23/86","10:15:00","USGS-02086849","Routine sample","Stable, low stage","Nitrate","Total","9","Historical","Actual"
"USGS-NC","9/24/85","14:00:00","USGS-02086849","Routine sample","Stable, low stage","Nitrate","Total","9.17","Historical","Actual"
"USGS-NC","11/24/86","8:30:00","USGS-02086849","Routine sample","Falling stage","Nitrate","Total","9.7","Historical","Actual"
"USGS-NC","4/16/87","11:00:00","USGS-02086849","Routine sample","Falling stage","Inorganic nitrogen (nitrate and nitrite)","Total","0.3","Historical","Actual"
"USGS-NC","2/24/87","9:15:00","USGS-02086849","Routine sample","Stable, normal stage","Inorganic nitrogen (nitrate and nitrite)","Total","0.3","Historical","Actual"
"USGS-NC","11/21/85","15:00:00","USGS-02086849","Flood","Falling stage","Inorganic nitrogen (nitrate and nitrite)","Total","0.4","Historical","Actual"
"USGS-NC","12/6/83","10:05:00","USGS-02086849","Flood","Rising stage","Inorganic nitrogen (nitrate and nitrite)","Total","0.4","Historical","Actual"
"USGS-NC","4/23/84","9:35:00","USGS-02086849","Routine sample","Falling stage","Inorganic nitrogen (nitrate and nitrite)","Total","0.5","Historical","Actual"
"USGS-NC","12/16/82","9:45:00","USGS-02086849","Routine sample","Not determined","Inorganic nitrogen (nitrate and nitrite)","Total","0.6","Historical","Actual"
"USGS-NC","11/17/82","9:45:00","USGS-02086849","Routine sample","Not determined","Inorganic nitrogen (nitrate and nitrite)","Total","0.6","Historical","Actual"
"USGS-NC","12/16/82","11:45:00","USGS-02086849","Routine sample","Not determined","Inorganic nitrogen (nitrate and nitrite)","Total","0.7","Historical","Actual"
"USGS-NC","12/6/83","16:05:00","USGS-02086849","Flood","Falling stage","Inorganic nitrogen (nitrate and nitrite)","Total","0.7","Historical","Actual"
"USGS-NC","12/16/82","14:40:00","USGS-02086849","Routine sample","Not determined","Inorganic nitrogen (nitrate and nitrite)","Total","0.8","Historical","Actual"
"USGS-NC","12/17/85","9:35:00","USGS-02086849","Routine sample","Stable, low stage","Inorganic nitrogen (nitrate and nitrite)","Total","0.83","Historical","Actual"
"USGS-NC","5/18/87","9:45:00","USGS-02086849","Routine sample","Stable, normal stage","Inorganic nitrogen (nitrate and nitrite)","Total","0.9","Historical","Actual"
"USGS-NC","2/20/85","15:50:00","USGS-02086849","Routine sample","Rising stage","Inorganic nitrogen (nitrate and nitrite)","Total","1","Historical","Actual"
