"agency","site_no","Date","month","HydrologicEvent","SampleFraction","Inorganic_N","Nitrate","Mixed_N","TP","Temperature","TSS","Turbidity"
"21NC01WQ","J1270000",1977-04-21,"Apr",NA," ",NA,NA,NA,NA,1175,NA,NA
"21NC01WQ","J1270000",1977-04-25,"Apr",NA," ",NA,NA,NA,NA,1117,NA,NA
"21NC01WQ","J1270000",1977-04-28,"Apr",NA," ",NA,NA,NA,NA,1055,NA,NA
"21NC01WQ","J1270000",1977-05-02,"May",NA," ",NA,NA,NA,NA,1117,NA,NA
"21NC01WQ","J1270000",1977-05-05,"May",NA," ",NA,NA,NA,NA,1162.5,NA,NA
"21NC01WQ","J1270000",1977-05-09,"May",NA," ",NA,NA,NA,NA,1055,NA,NA
"21NC01WQ","J1270000",1977-05-12,"May",NA," ",NA,NA,NA,NA,1015.5,NA,NA
"21NC01WQ","J1270000",1977-05-16,"May",NA," ",NA,NA,NA,NA,1123,NA,NA
"21NC01WQ","J1270000",1977-05-19,"May",NA," ",NA,NA,NA,NA,1254.5,NA,NA
"21NC01WQ","J1270000",1977-05-23,"May",NA," ",NA,NA,NA,NA,1307.5,NA,NA
"21NC01WQ","J1270000",1977-05-31,"May",NA," ",NA,NA,NA,NA,1327.5,NA,NA
"21NC01WQ","J1270000",1977-06-02,"Jun",NA," ",NA,NA,NA,NA,1307.5,NA,NA
"21NC01WQ","J1270000",1977-06-06,"Jun",NA," ",NA,NA,NA,NA,1307.5,NA,NA
"21NC01WQ","J1270000",1977-06-09,"Jun",NA," ",NA,NA,NA,NA,1235.5,NA,NA
"21NC01WQ","J1270000",1977-06-13,"Jun",NA," ",NA,NA,NA,NA,1314,NA,NA
"21NC01WQ","J1270000",1977-06-20,"Jun",NA," ",NA,NA,NA,NA,1351,NA,NA
"21NC01WQ","J1270000",1977-07-07,"Jul",NA," ",NA,NA,NA,NA,1401,NA,NA
"21NC01WQ","J1270000",1977-08-18,"Aug",NA," ",NA,NA,NA,NA,1307.5,NA,NA
"21NC01WQ","J1270000",1977-08-23,"Aug",NA," ",NA,NA,NA,NA,1336,NA,NA
"21NC01WQ","J1270000",1977-08-25,"Aug",NA," ",NA,NA,NA,NA,1314,NA,NA
"21NC01WQ","J1270000",1977-08-30,"Aug",NA," ",NA,NA,NA,NA,1351,NA,NA
"21NC01WQ","J1270000",1977-09-06,"Sep",NA," ",NA,NA,NA,NA,1351,NA,NA
"21NC01WQ","J1270000",1977-09-13,"Sep",NA," ",NA,NA,NA,NA,1162.5,NA,NA
"21NC01WQ","J1270000",1977-09-15,"Sep",NA," ",NA,NA,NA,NA,1327.5,NA,NA
"21NC01WQ","J1270000",1977-09-20,"Sep",NA," ",NA,NA,NA,NA,1351,NA,NA
"21NC01WQ","J1270000",1977-09-22,"Sep",NA," ",NA,NA,NA,NA,1295,NA,NA
"21NC01WQ","J1270000",1977-09-27,"Sep",NA," ",NA,NA,NA,NA,1336,NA,NA
"21NC01WQ","J1270000",1977-09-29,"Sep",NA," ",NA,NA,NA,NA,1146.5,NA,NA
"21NC01WQ","J1290000",1968-08-19,"Aug",NA," ",NA,NA,NA,NA,1530,NA,NA
"21NC01WQ","J1290000",1968-08-28,"Aug",NA," ",NA,NA,NA,NA,1254.5,NA,NA
"21NC01WQ","J1290000",1969-07-14,"Jul",NA," ",NA,NA,NA,NA,1394.5,NA,NA
"21NC01WQ","J1290000",1969-08-21,"Aug",NA," ",NA,NA,NA,NA,1422,NA,NA
"21NC01WQ","J1290000",1970-07-07,"Jul",NA," ",NA,NA,NA,NA,1394.5,NA,NA
"21NC01WQ","J1290000",1970-08-31,"Aug",NA," ",NA,NA,NA,NA,1544,NA,NA
"21NC01WQ","J1290000",1970-11-17,"Nov",NA," ",NA,NA,NA,NA,992.5,NA,NA
"21NC01WQ","J1290000",1970-11-17,"Nov",NA,"Total",NA,NA,NA,NA,NA,NA,1348
"21NC01WQ","J1290000",1971-04-20,"Apr",NA," ",NA,NA,NA,NA,1254.5,NA,NA
"21NC01WQ","J1290000",1971-06-28,"Jun",NA," ",NA,NA,NA,NA,1530,NA,NA
"21NC01WQ","J1290000",1971-08-04,"Aug",NA," ",NA,NA,NA,NA,1544,NA,NA
"21NC01WQ","J1290000",1971-09-08,"Sep",NA," ",NA,NA,NA,NA,1376,NA,NA
