"agency","site_no","Date","HydrologicEvent","CharacteristicName","SampleFraction","Units","value","month","agency_cd","Discharge","D.Approval.Code","Gage.Height","GH.Approval.Code","Location"
"21NC01WQ","J1270000",1977-03-03,NA,"Temperature, water"," ","deg C",11,"Mar",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-03-07,NA,"Temperature, water"," ","deg C",9,"Mar",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-03-10,NA,"Temperature, water"," ","deg C",11,"Mar",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-03-14,NA,"Temperature, water"," ","deg C",14,"Mar",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-03-17,NA,"Temperature, water"," ","deg C",11,"Mar",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-03-21,NA,"Temperature, water"," ","deg C",11,"Mar",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-03-24,NA,"Temperature, water"," ","deg C",12,"Mar",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-03-28,NA,"Temperature, water"," ","deg C",15,"Mar",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-03-31,NA,"Temperature, water"," ","deg C",16,"Mar",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-04-04,NA,"Temperature, water"," ","deg C",15,"Apr",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-04-07,NA,"Temperature, water"," ","deg C",10,"Apr",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-04-12,NA,"Temperature, water"," ","deg C",17,"Apr",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-04-14,NA,"Temperature, water"," ","deg C",18,"Apr",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-04-18,NA,"Temperature, water"," ","deg C",17,"Apr",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-04-21,NA,"Temperature, water"," ","deg C",19.5,"Apr",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-04-25,NA,"Temperature, water"," ","deg C",17,"Apr",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-04-28,NA,"Temperature, water"," ","deg C",15,"Apr",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-05-02,NA,"Temperature, water"," ","deg C",17,"May",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-05-05,NA,"Temperature, water"," ","deg C",19,"May",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-05-09,NA,"Temperature, water"," ","deg C",15,"May",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-05-12,NA,"Temperature, water"," ","deg C",13,"May",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-05-16,NA,"Temperature, water"," ","deg C",17.5,"May",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-05-19,NA,"Temperature, water"," ","deg C",21,"May",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-05-23,NA,"Temperature, water"," ","deg C",22,"May",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-05-31,NA,"Temperature, water"," ","deg C",23,"May",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-06-02,NA,"Temperature, water"," ","deg C",22,"Jun",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-06-06,NA,"Temperature, water"," ","deg C",22,"Jun",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-06-09,NA,"Temperature, water"," ","deg C",20,"Jun",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-06-13,NA,"Temperature, water"," ","deg C",22.5,"Jun",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-06-20,NA,"Temperature, water"," ","deg C",24,"Jun",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-07-07,NA,"Temperature, water"," ","deg C",26.5,"Jul",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-08-18,NA,"Temperature, water"," ","deg C",22,"Aug",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-08-23,NA,"Temperature, water"," ","deg C",23.5,"Aug",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-08-25,NA,"Temperature, water"," ","deg C",22.5,"Aug",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-08-30,NA,"Temperature, water"," ","deg C",24,"Aug",NA,NA,NA,NA,NA,"Upstream"
"21NC01WQ","J1270000",1977-09-06,NA,"Temperature, water"," ","deg C",24,"Sep",NA,NA,NA,NA,NA,"Upstream"
