"agency","site_no","Date","HydrologicEvent","CharacteristicName","SampleFraction","Units","value","month","agency_cd","Discharge","D.Approval.Code","Gage.Height","GH.Approval.Code","Location"
"21NC03WQ","J1330000",2013-09-09,NA,"Temperature, water",NA,"deg C",23.6,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2013-10-23,NA,"Phosphorus","Total","mg/l",0.08,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2013-10-23,NA,"Temperature, water",NA,"deg C",19,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2013-11-12,NA,"Phosphorus","Total","mg/l",0.08,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2013-11-12,NA,"Temperature, water",NA,"deg C",14.1,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2013-12-09,NA,"Phosphorus","Total","mg/l",0.08,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2013-12-09,NA,"Temperature, water",NA,"deg C",11.1,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-01-22,NA,"Phosphorus","Total","mg/l",0.07,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-01-22,NA,"Temperature, water",NA,"deg C",7.5,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-02-20,NA,"Phosphorus","Total","mg/l",0.1,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-02-20,NA,"Temperature, water",NA,"deg C",11.9,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-03-31,NA,"Phosphorus","Total","mg/l",0.09,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-03-31,NA,"Temperature, water",NA,"deg C",13.6,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-04-24,NA,"Phosphorus","Total","mg/l",0.06,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-04-24,NA,"Temperature, water",NA,"deg C",19.7,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-05-13,NA,"Phosphorus","Total","mg/l",0.14,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-05-13,NA,"Temperature, water",NA,"deg C",25.1,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-06-11,NA,"Phosphorus","Total","mg/l",0.11,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-06-11,NA,"Temperature, water",NA,"deg C",26.9,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-07-08,NA,"Phosphorus","Total","mg/l",0.15,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-07-08,NA,"Temperature, water",NA,"deg C",24.4,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-09-15,NA,"Phosphorus","Total","mg/l",0.14,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-09-15,NA,"Temperature, water",NA,"deg C",25.7,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-10-02,NA,"Phosphorus","Total","mg/l",0.11,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-10-02,NA,"Temperature, water",NA,"deg C",22,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-11-03,NA,"Phosphorus","Total","mg/l",0.08,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-11-03,NA,"Temperature, water",NA,"deg C",15.3,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-12-08,NA,"Phosphorus","Total","mg/l",0.06,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2014-12-08,NA,"Temperature, water",NA,"deg C",11.6,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-01-15,NA,"Phosphorus","Total","mg/l",0.08,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-01-15,NA,"Temperature, water",NA,"deg C",7.5,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-02-09,NA,"Phosphorus","Total","mg/l",0.06,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-02-09,NA,"Temperature, water",NA,"deg C",12.1,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-03-17,NA,"Phosphorus","Total","mg/l",0.05,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-03-17,NA,"Temperature, water",NA,"deg C",1438,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-04-22,NA,"Phosphorus","Total","mg/l",0.23,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-04-22,NA,"Temperature, water",NA,"deg C",17.7,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-05-07,NA,"Phosphorus","Total","mg/l",0.09,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-05-07,NA,"Temperature, water",NA,"deg C",20.3,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-06-16,NA,"Phosphorus","Total","mg/l",0.12,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-06-16,NA,"Temperature, water",NA,"deg C",26.8,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-07-15,NA,"Phosphorus","Total","mg/l",0.11,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-07-15,NA,"Temperature, water",NA,"deg C",25.9,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-08-05,NA,"Phosphorus","Total","mg/l",0.13,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-08-05,NA,"Temperature, water",NA,"deg C",26.7,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-09-09,NA,"Phosphorus","Total","mg/l",0.09,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-09-09,NA,"Temperature, water",NA,"deg C",25.2,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-10-26,NA,"Phosphorus","Total","mg/l",0.08,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-10-26,NA,"Temperature, water",NA,"deg C",18.3,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-12-01,NA,"Phosphorus","Total","mg/l",0.13,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2015-12-01,NA,"Temperature, water",NA,"deg C",12.6,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-01-13,NA,"Temperature, water",NA,"deg C",9.4,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-02-09,NA,"Phosphorus","Total","mg/l",0.04,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-02-09,NA,"Temperature, water",NA,"deg C",10.2,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-03-09,NA,"Phosphorus","Total","mg/l",0.06,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-03-09,NA,"Temperature, water",NA,"deg C",17.4,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-04-13,NA,"Phosphorus","Total","mg/l",0.13,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-04-13,NA,"Temperature, water",NA,"deg C",17.6,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-05-12,NA,"Phosphorus","Total","mg/l",0.08,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-05-12,NA,"Temperature, water",NA,"deg C",21.3,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-06-14,NA,"Phosphorus","Total","mg/l",0.06,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-06-14,NA,"Temperature, water",NA,"deg C",24.3,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-07-12,NA,"Phosphorus","Total","mg/l",0.07,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-07-12,NA,"Temperature, water",NA,"deg C",25.7,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-08-11,NA,"Phosphorus","Total","mg/l",0.08,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-08-11,NA,"Temperature, water",NA,"deg C",26,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-09-08,NA,"Phosphorus","Total","mg/l",0.15,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-09-08,NA,"Temperature, water",NA,"deg C",25.9,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-10-11,NA,"Phosphorus","Total","mg/l",0.18,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-10-11,NA,"Temperature, water",NA,"deg C",16.9,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-11-08,NA,"Phosphorus","Total","mg/l",0.08,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-11-08,NA,"Temperature, water",NA,"deg C",15.5,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-12-14,NA,"Phosphorus","Total","mg/l",0.1,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2016-12-14,NA,"Temperature, water",NA,"deg C",13.3,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-01-25,NA,"Phosphorus","Total","mg/l",0.4,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-01-25,NA,"Temperature, water",NA,"deg C",12.2,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-02-13,NA,"Phosphorus","Total","mg/l",0.06,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-02-13,NA,"Temperature, water",NA,"deg C",12.8,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-03-07,NA,"Phosphorus","Total","mg/l",0.07,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-03-07,NA,"Temperature, water",NA,"deg C",15.1,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-04-19,NA,"Phosphorus","Total","mg/l",0.12,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-04-19,NA,"Temperature, water",NA,"deg C",18.1,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-05-30,NA,"Phosphorus","Total","mg/l",0.09,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-05-30,NA,"Temperature, water",NA,"deg C",22.7,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-06-28,NA,"Phosphorus","Total","mg/l",0.09,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-07-31,NA,"Phosphorus","Total","mg/l",0.12,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-07-31,NA,"Temperature, water",NA,"deg C",22.5,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-08-31,NA,"Phosphorus","Total","mg/l",0.12,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-08-31,NA,"Temperature, water",NA,"deg C",24.3,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-09-28,NA,"Phosphorus","Total","mg/l",0.11,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-09-28,NA,"Temperature, water",NA,"deg C",23.7,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-10-26,NA,"Phosphorus","Total","mg/l",0.08,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-10-26,NA,"Temperature, water",NA,"deg C",16.9,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-11-21,NA,"Phosphorus","Total","mg/l",0.05,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-11-21,NA,"Temperature, water",NA,"deg C",13.3,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-12-13,NA,"Phosphorus","Total","mg/l",0.05,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2017-12-13,NA,"Temperature, water",NA,"deg C",9.4,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-01-25,NA,"Phosphorus","Total","mg/l",0.1,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-02-15,NA,"Phosphorus","Total","mg/l",0.05,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-02-20,NA,"Temperature, water",NA,"deg C",9.9,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-03-19,NA,"Phosphorus","Total","mg/l",0.04,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-03-19,NA,"Temperature, water",NA,"deg C",14.85,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-04-18,NA,"Temperature, water",NA,"deg C",16.3,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-06-04,NA,"Phosphorus","Total","mg/l",0.07,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-06-04,NA,"Temperature, water",NA,"deg C",25.2,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-06-27,NA,"Phosphorus","Total","mg/l",0.1,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-06-27,NA,"Temperature, water",NA,"deg C",24.1,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-07-26,NA,"Phosphorus","Total","mg/l",0.1,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-07-26,NA,"Temperature, water",NA,"deg C",27.2,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-08-16,NA,"Phosphorus","Total","mg/l",0.08,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-08-16,NA,"Temperature, water",NA,"deg C",27.1,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-10-25,NA,"Phosphorus","Total","mg/l",0.06,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-10-25,NA,"Temperature, water",NA,"deg C",14.8,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-11-19,NA,"Phosphorus","Total","mg/l",0.06,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-11-19,NA,"Temperature, water",NA,"deg C",13.3,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-12-17,NA,"Phosphorus","Total","mg/l",0.06,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC03WQ","J1330000",2018-12-17,NA,"Temperature, water",NA,"deg C",11.3,"Dec",NA,NA,NA,NA,NA,"Downstream"
"USGS","0208675009",2016-10-08,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.35,"Oct",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2016-10-08,"Storm","Phosphorus","Total","mg/l as P",0.2865,"Oct",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2016-10-08,"Storm","Temperature, water",NA,"deg C",20.15,"Oct",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2016-12-06,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",0.64,"Dec",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2016-12-06,"Storm","Phosphorus","Total","mg/l as P",0.099,"Dec",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2016-12-06,"Storm","Temperature, water",NA,"deg C",10.4,"Dec",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-01-02,"Routine sample","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.1,"Jan",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-01-02,"Routine sample","Phosphorus","Total","mg/l as P",0.213,"Jan",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-01-23,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.7,"Jan",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-01-23,"Storm","Phosphorus","Total","mg/l as P",0.371,"Jan",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-02-09,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",0.95,"Feb",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-02-09,"Storm","Phosphorus","Total","mg/l as P",0.159,"Feb",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-03-01,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",2.2,"Mar",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-03-01,"Storm","Phosphorus","Total","mg/l as P",0.516,"Mar",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-03-14,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1,"Mar",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-03-14,"Storm","Phosphorus","Total","mg/l as P",0.157,"Mar",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-04-25,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.2,"Apr",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-04-25,"Storm","Phosphorus","Total","mg/l as P",0.282,"Apr",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-05-05,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",2.2,"May",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-05-05,"Storm","Phosphorus","Total","mg/l as P",0.74,"May",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-05-24,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.1,"May",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-05-24,"Storm","Phosphorus","Total","mg/l as P",0.215,"May",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-05-25,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.4,"May",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-05-25,"Storm","Phosphorus","Total","mg/l as P",0.413,"May",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-06-05,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.2,"Jun",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-06-05,"Storm","Phosphorus","Total","mg/l as P",0.276,"Jun",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-06-17,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.8,"Jun",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-06-17,"Storm","Phosphorus","Total","mg/l as P",0.46,"Jun",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-06-20,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.3,"Jun",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-06-20,"Storm","Phosphorus","Total","mg/l as P",0.263,"Jun",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-06-26,"Routine sample","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",0.76,"Jun",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-06-26,"Routine sample","Phosphorus","Total","mg/l as P",0.092,"Jun",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-07-08,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.2,"Jul",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-07-08,"Storm","Phosphorus","Total","mg/l as P",0.173,"Jul",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-08-13,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.4,"Aug",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-08-13,"Storm","Phosphorus","Total","mg/l as P",0.27,"Aug",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-09-01,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.8,"Sep",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-09-01,"Storm","Phosphorus","Total","mg/l as P",0.437,"Sep",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-10-11,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.3,"Oct",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-10-11,"Storm","Phosphorus","Total","mg/l as P",0.236,"Oct",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-10-23,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",2.3,"Oct",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-10-23,"Storm","Phosphorus","Total","mg/l as P",0.554,"Oct",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-11-13,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.3,"Nov",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-11-13,"Storm","Phosphorus","Total","mg/l as P",0.371,"Nov",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-12-08,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.1,"Dec",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-12-08,"Storm","Phosphorus","Total","mg/l as P",0.274,"Dec",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-12-21,"Routine sample","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",0.48,"Dec",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2017-12-21,"Routine sample","Phosphorus","Total","mg/l as P",0.092,"Dec",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2018-01-12,"Storm","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",1.3,"Jan",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675009",2018-01-12,"Storm","Phosphorus","Total","mg/l as P",0.254,"Jan",NA,NA,NA,NA,NA,"Upstream"
"USGS","0208675010",2011-07-20,"Routine sample","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",0.37,"Jul","USGS",0.09,"A",0.26,"A","Upstream"
"USGS","0208675010",2011-07-20,"Routine sample","Phosphorus","Total","mg/l as P",0.039,"Jul","USGS",0.09,"A",0.26,"A","Upstream"
"USGS","0208675010",2011-07-20,"Routine sample","Temperature, water",NA,"deg C",27.6,"Jul","USGS",0.09,"A",0.26,"A","Upstream"
"USGS","0208675010",2011-09-02,"Routine sample","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",0.44,"Sep","USGS",0.1,"A",0.27,"A","Upstream"
"USGS","0208675010",2011-09-02,"Routine sample","Phosphorus","Total","mg/l as P",0.056,"Sep","USGS",0.1,"A",0.27,"A","Upstream"
"USGS","0208675010",2011-09-02,"Routine sample","Temperature, water",NA,"deg C",25.8,"Sep","USGS",0.1,"A",0.27,"A","Upstream"
"USGS","0208675010",2011-09-28,"Routine sample","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",0.77,"Sep","USGS",4.71,"A",0.44,"A","Upstream"
"USGS","0208675010",2011-09-28,"Routine sample","Phosphorus","Total","mg/l as P",0.128,"Sep","USGS",4.71,"A",0.44,"A","Upstream"
"USGS","0208675010",2011-09-28,"Routine sample","Temperature, water",NA,"deg C",23.6,"Sep","USGS",4.71,"A",0.44,"A","Upstream"
"USGS","0208675010",2011-10-26,"Routine sample","Phosphorus","Total","mg/l as P",0.046,"Oct","USGS",0.42,"A",0.31,"A","Upstream"
"USGS","0208675010",2011-10-26,"Routine sample","Temperature, water",NA,"deg C",14.2,"Oct","USGS",0.42,"A",0.31,"A","Upstream"
"USGS","0208675010",2011-11-28,"Routine sample","Phosphorus","Total","mg/l as P",0.057,"Nov","USGS",0.98,"A",0.34,"A","Upstream"
"USGS","0208675010",2011-11-28,"Routine sample","Temperature, water",NA,"deg C",13.6,"Nov","USGS",0.98,"A",0.34,"A","Upstream"
"USGS","0208675010",2011-12-29,"Routine sample","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",0.71,"Dec","USGS",1.98,"A",0.39,"A","Upstream"
"USGS","0208675010",2011-12-29,"Routine sample","Phosphorus","Total","mg/l as P",0.092,"Dec","USGS",1.98,"A",0.39,"A","Upstream"
"USGS","0208675010",2011-12-29,"Routine sample","Temperature, water",NA,"deg C",7.1,"Dec","USGS",1.98,"A",0.39,"A","Upstream"
"USGS","0208675010",2012-01-30,"Routine sample","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","mg/l",0.53,"Jan","USGS",0.95,"A",0.34,"A","Upstream"
"USGS","0208675010",2012-01-30,"Routine sample","Phosphorus","Total","mg/l as P",0.059,"Jan","USGS",0.95,"A",0.34,"A","Upstream"
