"agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"USGS","0208675010",2008-12-05,0.82,"A"
"USGS","0208675010",2008-12-06,0.87,"A"
"USGS","0208675010",2008-12-07,1.58,"A"
"USGS","0208675010",2008-12-08,0.89,"A"
"USGS","0208675010",2008-12-09,1.28,"A"
"USGS","0208675010",2008-12-10,2.18,"A"
"USGS","0208675010",2008-12-11,95.4,"A"
"USGS","0208675010",2008-12-12,36.1,"A"
"USGS","0208675010",2008-12-13,3.66,"A"
"USGS","0208675010",2008-12-14,2.59,"A"
"USGS","0208675010",2008-12-15,3.07,"A"
"USGS","0208675010",2008-12-16,2.16,"A"
"USGS","0208675010",2008-12-17,1.78,"A"
"USGS","0208675010",2008-12-18,1.37,"A"
"USGS","0208675010",2008-12-19,1.25,"A"
"USGS","0208675010",2008-12-20,1.25,"A"
"USGS","0208675010",2008-12-21,85.1,"A"
"USGS","0208675010",2008-12-22,6.03,"A"
"USGS","0208675010",2008-12-23,2.74,"A"
"USGS","0208675010",2008-12-24,2.34,"A"
"USGS","0208675010",2008-12-25,57.7,"A"
"USGS","0208675010",2008-12-26,4.99,"A"
"USGS","0208675010",2008-12-27,3.25,"A"
"USGS","0208675010",2008-12-28,2.9,"A"
"USGS","0208675010",2008-12-29,2.46,"A"
"USGS","0208675010",2008-12-30,1.69,"A"
"USGS","0208675010",2008-12-31,1.33,"A"
"USGS","0208675010",2009-01-01,1.1,"A"
"USGS","0208675010",2009-01-02,1.03,"A"
"USGS","0208675010",2009-01-03,1.03,"A"
"USGS","0208675010",2009-01-04,20.4,"A"
"USGS","0208675010",2009-01-05,3.28,"A"
"USGS","0208675010",2009-01-06,91,"A"
"USGS","0208675010",2009-01-07,23.2,"A"
"USGS","0208675010",2009-01-08,5.02,"A"
"USGS","0208675010",2009-01-09,2.89,"A"
"USGS","0208675010",2009-01-10,2.22,"A"
"USGS","0208675010",2009-01-11,2.15,"A"
"USGS","0208675010",2009-01-12,1.62,"A"
"USGS","0208675010",2009-01-13,1.39,"A"
"USGS","0208675010",2009-01-14,1.26,"A"
"USGS","0208675010",2009-01-15,1.22,"A"
"USGS","0208675010",2009-01-16,1.04,"A"
"USGS","0208675010",2009-01-17,0.83,"A"
"USGS","0208675010",2009-01-18,1.18,"A"
"USGS","0208675010",2009-01-19,1.06,"A"
"USGS","0208675010",2009-01-20,2.11,"A"
"USGS","0208675010",2009-01-21,1.39,"A"
"USGS","0208675010",2009-01-22,1.03,"A"
"USGS","0208675010",2009-01-23,1.01,"A"
"USGS","0208675010",2009-01-24,1,"A"
"USGS","0208675010",2009-01-25,0.84,"A"
"USGS","0208675010",2009-01-26,0.81,"A"
"USGS","0208675010",2009-01-27,1.85,"A"
"USGS","0208675010",2009-01-28,21.5,"A"
"USGS","0208675010",2009-01-29,4.31,"A"
"USGS","0208675010",2009-01-30,1.52,"A"
"USGS","0208675010",2009-01-31,1,"A"
"USGS","0208675010",2009-02-01,0.77,"A"
"USGS","0208675010",2009-02-02,0.66,"A"
"USGS","0208675010",2009-02-03,8.29,"A"
"USGS","0208675010",2009-02-04,1.43,"A"
"USGS","0208675010",2009-02-05,0.84,"A"
"USGS","0208675010",2009-02-06,0.64,"A"
"USGS","0208675010",2009-02-07,0.63,"A"
"USGS","0208675010",2009-02-08,0.63,"A"
"USGS","0208675010",2009-02-09,0.55,"A"
"USGS","0208675010",2009-02-10,0.51,"A"
"USGS","0208675010",2009-02-11,0.66,"A"
"USGS","0208675010",2009-02-12,0.58,"A"
"USGS","0208675010",2009-02-13,0.6,"A"
"USGS","0208675010",2009-02-14,0.43,"A"
"USGS","0208675010",2009-02-15,0.41,"A"
"USGS","0208675010",2009-02-16,0.69,"A"
"USGS","0208675010",2009-02-17,0.47,"A"
"USGS","0208675010",2009-02-18,28,"A"
"USGS","0208675010",2009-02-19,2.87,"A"
"USGS","0208675010",2009-02-20,1.3,"A"
"USGS","0208675010",2009-02-21,0.82,"A"
"USGS","0208675010",2009-02-22,0.65,"A"
"USGS","0208675010",2009-02-23,0.56,"A"
"USGS","0208675010",2009-02-24,0.49,"A"
"USGS","0208675010",2009-02-25,0.48,"A"
"USGS","0208675010",2009-02-26,0.49,"A"
"USGS","0208675010",2009-02-27,0.5,"A"
"USGS","0208675010",2009-02-28,25.6,"A"
"USGS","0208675010",2009-03-01,134,"A"
"USGS","0208675010",2009-03-02,43.8,"A"
"USGS","0208675010",2009-03-03,6.65,"A"
"USGS","0208675010",2009-03-04,4.4,"A"
"USGS","0208675010",2009-03-05,3.38,"A"
"USGS","0208675010",2009-03-06,2.79,"A"
"USGS","0208675010",2009-03-07,2.23,"A"
"USGS","0208675010",2009-03-08,1.96,"A"
"USGS","0208675010",2009-03-09,1.87,"A"
"USGS","0208675010",2009-03-10,1.4,"A"
"USGS","0208675010",2009-03-11,1.45,"A"
"USGS","0208675010",2009-03-12,1.35,"A"
"USGS","0208675010",2009-03-13,7.89,"A"
"USGS","0208675010",2009-03-14,66.6,"A"
"USGS","0208675010",2009-03-15,111,"A"
"USGS","0208675010",2009-03-16,32.2,"A"
"USGS","0208675010",2009-03-17,28,"A"
"USGS","0208675010",2009-03-18,5.76,"A"
"USGS","0208675010",2009-03-19,9.3,"A"
"USGS","0208675010",2009-03-20,25.4,"A"
"USGS","0208675010",2009-03-21,3.98,"A"
"USGS","0208675010",2009-03-22,2.91,"A"
"USGS","0208675010",2009-03-23,2.44,"A"
"USGS","0208675010",2009-03-24,1.99,"A"
"USGS","0208675010",2009-03-25,1.83,"A"
"USGS","0208675010",2009-03-26,4.64,"A"
"USGS","0208675010",2009-03-27,45.2,"A"
"USGS","0208675010",2009-03-28,66.7,"A"
"USGS","0208675010",2009-03-29,50.6,"A"
"USGS","0208675010",2009-03-30,6.39,"A"
"USGS","0208675010",2009-03-31,3.84,"A"
"USGS","0208675010",2009-04-01,3.66,"A"
"USGS","0208675010",2009-04-02,8.76,"A"
"USGS","0208675010",2009-04-03,47.3,"A"
"USGS","0208675010",2009-04-04,6.26,"A"
"USGS","0208675010",2009-04-05,3.47,"A"
"USGS","0208675010",2009-04-06,7.89,"A"
"USGS","0208675010",2009-04-07,3.36,"A"
"USGS","0208675010",2009-04-08,2.23,"A"
"USGS","0208675010",2009-04-09,1.84,"A"
"USGS","0208675010",2009-04-10,2.78,"A"
"USGS","0208675010",2009-04-11,11.1,"A"
"USGS","0208675010",2009-04-12,2.41,"A"
"USGS","0208675010",2009-04-13,1.78,"A"
"USGS","0208675010",2009-04-14,12.2,"A"
"USGS","0208675010",2009-04-15,4.27,"A"
"USGS","0208675010",2009-04-16,1.88,"A"
"USGS","0208675010",2009-04-17,1.22,"A"
"USGS","0208675010",2009-04-18,1.13,"A"
"USGS","0208675010",2009-04-19,1.01,"A"
"USGS","0208675010",2009-04-20,11.8,"A"
"USGS","0208675010",2009-04-21,2.25,"A"
"USGS","0208675010",2009-04-22,1.25,"A"
"USGS","0208675010",2009-04-23,1.08,"A"
"USGS","0208675010",2009-04-24,0.82,"A"
"USGS","0208675010",2009-04-25,0.83,"A"
"USGS","0208675010",2009-04-26,0.81,"A"
"USGS","0208675010",2009-04-27,0.8,"A"
"USGS","0208675010",2009-04-28,0.85,"A"
"USGS","0208675010",2009-04-29,0.73,"A"
"USGS","0208675010",2009-04-30,0.62,"A"
"USGS","0208675010",2009-05-01,1.46,"A"
"USGS","0208675010",2009-05-02,0.88,"A"
"USGS","0208675010",2009-05-03,0.49,"A"
"USGS","0208675010",2009-05-04,0.64,"A"
"USGS","0208675010",2009-05-05,9.03,"A"
"USGS","0208675010",2009-05-06,15,"A"
"USGS","0208675010",2009-05-07,16.6,"A"
"USGS","0208675010",2009-05-08,2.18,"A"
"USGS","0208675010",2009-05-09,5.17,"A"
"USGS","0208675010",2009-05-10,3.4,"A"
"USGS","0208675010",2009-05-11,1.82,"A"
"USGS","0208675010",2009-05-12,1.74,"A"
"USGS","0208675010",2009-05-13,0.98,"A"
"USGS","0208675010",2009-05-14,1.38,"A"
"USGS","0208675010",2009-05-15,1.66,"A"
"USGS","0208675010",2009-05-16,1.53,"A"
"USGS","0208675010",2009-05-17,1.52,"A"
"USGS","0208675010",2009-05-18,3.39,"A"
"USGS","0208675010",2009-05-19,1.22,"A"
"USGS","0208675010",2009-05-20,0.7,"A"
"USGS","0208675010",2009-05-21,0.58,"A"
"USGS","0208675010",2009-05-22,0.41,"A"
"USGS","0208675010",2009-05-23,0.48,"A"
"USGS","0208675010",2009-05-24,0.36,"A"
"USGS","0208675010",2009-05-25,1.53,"A"
"USGS","0208675010",2009-05-26,4.44,"A"
"USGS","0208675010",2009-05-27,1.41,"A"
"USGS","0208675010",2009-05-28,1.47,"A"
"USGS","0208675010",2009-05-29,2.12,"A"
"USGS","0208675010",2009-05-30,2.06,"A"
"USGS","0208675010",2009-05-31,0.66,"A"
"USGS","0208675010",2009-06-01,0.63,"A"
"USGS","0208675010",2009-06-02,3.81,"A"
"USGS","0208675010",2009-06-03,0.87,"A"
